"","team","wins","loses"
"1","Ad Finem",5,9
"2","Alliance",2,2
"3","Alternate",NA,3
"4","Averia",1,2
"5","CDEC",NA,6
"6","compLexity",6,5
"7","COOKISS",2,1
"8","Danish Bears",3,NA
"9","Digital Chaos",NA,3
"10","Ehome",3,4
"11","EhShasBi",3,NA
"12","Elite Wolves",2,5
"13","Elysium Gaming",1,NA
"14","EverNova",NA,3
"15","Evil Geniuses",10,NA
"16","Execration",5,1
"17","First Departure",1,4
"18","Fnatic",3,NA
"19","hehe united",2,NA
"20","HellRaisers",NA,3
"21","InFamous",5,NA
"22","LGD",2,3
"23","London Conspiracy",NA,2
"24","Mineski",2,NA
"25","MVP Phoenix",4,NA
"26","Natus Vincere",1,4
"27","NewBee",2,2
"28","Not Today",NA,3
"29","OG",4,NA
"30","Oogway",NA,1
"31","Power Rangers",1,2
"32","Pries",NA,4
"33","Prodota Gaming",3,2
"34","Redemption",2,1
"35","Samurai Champloo",6,3
"36","Shazam",3,NA
"37","Siberian Valenki",2,NA
"38","Signature.TrusT",NA,2
"39","Team Archon",NA,5
"40","Team Empire",6,2
"41","Team Liquid",6,3
"42","Team Secret",5,2
"43","Team Spirit",5,4
"44","Team Taring",NA,3
"45","TnC",1,NA
"46","Tornado Rox",5,1
"47","Vega Squadron",5,5
"48","Vici Gaming",NA,5
"49","Virtus.pro",3,6
"50","Wombat Gaming",NA,2
"51","Yellow Submarine",NA,4
