"league_id","name","type","prize"
3714,"RD2L Season 8","Amateur League",NA
2963,"Sudamerican Master 2","Professional League",NA
2849,"Hitbox European Championship 2","Professional League",NA
2305,"GamerPVP InHouse","Amateur League",NA
2718,"All Indonesia League 2015","Amateur League",NA
2840,"SEL April 2015","Amateur League",NA
3570,"HuoMaoTV Mid-Summer League","Professional League",NA
2307,"UGC Dota 2 League Season 3","Professional League",NA
2306,"BelNation Dota League 7","Amateur League",NA
1774,"Semipro Cup Series Season 52","Amateur League",NA
3129,"ProDotA Cup by Twitch.tv","Professional League",NA
3552,"joinDOTA League 7","Amateur League",NA
3793,"Corrupted Cup - Season 5","Amateur League",NA
2407,"AD2L Season 6","Amateur League",NA
2158,"SLTV Star Series Season 11","Premium League","$126,521"
2693,"Mineski Pro-Gaming League Season 7","Professional League",NA
3990,"Frankfurt Major 2015 Open Qualifiers","Premium League",NA
2912,"VPGame Pro League Bundle","Professional League",NA
1798,"UGC Dota 2 League","Amateur League",NA
3482,"Sudamerican Master 3 by g2a","Professional League",NA
2854,"joinDOTA League 6","Amateur League",NA
4037,"The Choco Cup","Amateur League",NA
1800,"NADota Elite League September","Amateur League",NA
4038,"joinDOTA League 8","Amateur League",NA
2841,"NEL April 2015","Amateur League",NA
2555,"Razer Think Fast Season 2","Professional League",NA
1709,"i league","Premium League","$311,652"
2392,"MLG World Finals 2015","Premium League","$286,894"
2793,"AD2L Season 7","Amateur League",NA
2790,"ASUS ROG DreamLeague Season 3","Premium League","$149,662"
1382,"Liga Livedota Chile","Amateur League",NA
1324,"Watch 4 Dota Tournament","Amateur League",NA
2770,"MPGL SEA Season 7 Bundle","Professional League","$51,323"
3779,"BTS Americas 2","Professional League",NA
3671,"The Frankfurt Major 2015","Premium League","$3,000,000"
2821,"XMA - SP1 2015","Professional League",NA
4044,"Tourr Captains Draft League Season 2","Amateur League",NA
3579,"THE MAELSTROM CUP","Amateur League",NA
4122,"FACEIT League","Amateur League",NA
2980,"joinDOTA MLG Pro League Season 2 Bundle","Premium League","$167,649"
4127,"Uprise Champions Cup: Special","Professional League",NA
4049,"BoraDota STARS 2","Professional League",NA
2985,"Esports Champion League 2015 Spring","Premium League",NA
3572,"Lima Five Peru Season \&quot;Killer\&quot;","Amateur League",NA
2172,"Esportal Dota 2 League","Professional League","$142,235"
2171,"SLTV Pro Series Season 11","Professional League",NA
2661,"The Summit 3","Premium League","$271,685"
2409,"Agon League","Amateur League",NA
2077,"Copa Chile 2 Expogeek","Amateur League",NA
2520,"Liga Chilena D2G","Amateur League",NA
2051,"SLTV Pro Series Season X","Professional League",NA
4210,"Dota Pit League Season Four","Premium League","$121,756"
2763,"GEST SEA CUP","Professional League",NA
3747,"AD2L Season 9","Amateur League",NA
1937,"URUDota Cup Season 1","Amateur League",NA
1935,"Lima Five Peru Season 6","Amateur League",NA
2418,"SLTV Star Series Season 12","Premium League","$135,278"
3798,"ESL One at New York Super Week","Premium League","$287,849"
2044,"Dota Regions: Season 2","Professional League",NA
4052,"Southamerican Championships by Ttesports","Amateur League",NA
2040,"AD2L Season 5","Amateur League",NA
3013,"FirstGameTV Dota 2 Cup Tournament Bundle","Professional League",NA
3502,"Nanyang Championships","Premium League","$220,183"
3014,"Saturday DotA League","Amateur League",NA
3468,"VPGAME Challenger League","Amateur League",NA
3092,"FACEIT Pro League","Professional League",NA
2673,"Dota 2 Canada Cup Season 5 Bundle","Premium League","$11,898"
2377,"Dota 2 Canada Cup Season 4","Professional League",NA
2928,"The Battle Fury 2015","Professional League",NA
2591,"Elpadrinoth Latin Tournaments","Amateur League",NA
4181,"Dota 2 Canada Cup Season 6 Open Qualifiers","Professional League",NA
2922,"World Cyber Arena 2015","Premium League",NA
2882,"American Star League ","Amateur League",NA
3211,"American Star League Season II Qualifiers","Amateur League",NA
2206,"Hitbox Obutto Dota2 Championship","Professional League",NA
3455,"Elpadrinoth Latin Tournaments Season 2","Amateur League",NA
2028,"GrossuCup Season 2","Amateur League",NA
3089,"Polish DOTA 2 Championships","Amateur League",NA
2686,"ESL One Frankfurt 2015 Premium Bundle","Premium League","$298,135"
4119,"D2CL S7 Christmas Magic","Professional League","$40,120"
2363,"NADotA Elite League January","Amateur League",NA
2681,"SEL March 2015","Amateur League",NA
2815,"i League Season 3","Premium League","$427,002"
2811,"DotA2 UNITRY Tournament March 2015","Professional League",NA
2812,"Anzac Dota","Professional League",NA
2589,"The Prime Major Tournament","Professional League",NA
3877,"DOTA2 Radiant &amp; Dire Cup 2015","Premium League","$151,896"
3071,"Lima Five Peru - Gunners","Professional League",NA
3072,"AOC &amp; Rapoo Masters Championship","Professional League",NA
2954,"Mountain Trail Challenge","Professional League",NA
3726,"D2CL Season 6","Professional League",NA
3284,"DotA Athletes - Summer Slam","Amateur League",NA
3282,"DA 5v5 Team Series - June 2015","Amateur League",NA
3462,"Esportsone Pro Series Season 1","Amateur League",NA
3688,"MLeS","Professional League",NA
3447,"Tourr Captains Draft League Season 1","Amateur League",NA
2126,"Battle of America 2","Professional League",NA
2358,"D2CL Season 5 Bundle","Premium League","$79,504"
1980,"JoinDota League Season 4","Professional League",NA
2353,"No Mercy IV","Amateur League",NA
2517,"joinDOTA League 5","Professional League",NA
2510,"SA Challenge","Professional League",NA
3904,"Esports Champion League 2015 Autumn","Professional League",NA
3905,"UGC Dota2 League Season 5 - Prelims","Amateur League",NA
3902,"StarLadder | i-League","Premium League",NA
2733,"The International 2015","Premium League","$18,429,613"
3067,"Paysafecard Go4Dota2 Europe","Amateur League",NA
3534,"The Defense Season 5","Premium League","$78,587"
3539,"KOD League","Amateur League",NA
2134,"CEVO Season 6","Professional League","$3,979"
1969,"GG Latin League","Amateur League",NA
4002,"Australian Dota 2 Premiership","Amateur League",NA
3341,"FACEIT Pro League North America","Professional League",NA
3344,"KOD Temporada 1","Amateur League",NA
2032,"G-League 2014","Premium League",NA
2747,"Dota 2 Canada Cup Season 6","Professional League","$107,741"
3976,"Hitbox EU Championship 4","Professional League",NA
2877,"Red Bull Battle Grounds Bundle","Premium League","$89,269"
2642,"AD2L Season 6 In House","Amateur League",NA
2970,"UGC Dota 2 League Season 4","Professional League",NA
3706,"CDEC Qualifiers","Amateur League",NA
3545,"Corrupted League","Amateur League",NA
3781,"The Summit 4","Premium League","$114,866"
2337,"joinDOTA MLG Pro League Season 1","Premium League","$87,103"
2129,"Dota Pit League Season 3","Premium League","$265,378"
2339,"Dota 2 Asia Championship 2015","Premium League","$3,073,451"
3221,"On Art Challenge Series 2","Professional League",NA
2234,"Torneos Dota Latino","Professional League",NA
2084,"Defense of the Australians Spring 2014","Amateur League",NA
