147609,LoL,2016-04-15 12:00:00.000000,1.344,2.776,Taipei Assassins,Machi E-Sports,Total,LMS,NA,147609,draw
147608,LoL,2016-04-15 12:00:00.000000,1.204,3.500,SK Telecom T1,Jin Air Green Wings,Total,LCK,NA,147608,draw
147602,Counter-Strike,2016-04-15 04:00:00.000000,1.343,2.781,Tectonic,Dynamo,Total,Stream me,NA,147602,draw
147603,Counter-Strike,2016-04-15 04:00:00.000000,1.433,2.500,Tectonic,Dynamo,GameResult,Stream me,Map1,147602,draw
147597,Counter-Strike,2016-04-15 04:00:00.000000,1.343,2.781,Bees Money Crew,VexX,Total,RGN,NA,147597,draw
147599,Counter-Strike,2016-04-15 04:00:00.000000,1.433,2.500,Bees Money Crew,VexX,GameResult,RGN,Map1,147597,draw
147512,Counter-Strike,2016-04-15 03:00:00.000000,1.204,3.500,Winterfox,Ze Pug Godz,Total,CEVO,NA,147512,draw
147604,Counter-Strike,2016-04-15 03:00:00.000000,1.338,2.800,Winterfox,Ze Pug Godz,GameResult,CEVO,Map1,147512,draw
147605,Counter-Strike,2016-04-15 03:00:00.000000,1.607,2.151,Winterfox,Ze Pug Godz,will win 1st round on map 1,CEVO,will win 1st round on map 1,147512,draw
147606,Counter-Strike,2016-04-15 03:00:00.000000,1.607,2.151,Winterfox,Ze Pug Godz,will win 16th round on map 1,CEVO,will win 16th round on map 1,147512,draw
147355,Counter-Strike,2016-04-14 22:00:00.000000,1.287,3.012,SK,Torpedo,Total,SL Quali,NA,147355,draw
147455,Counter-Strike,2016-04-14 22:00:00.000000,1.432,2.504,SK,Torpedo,GameResult,SL Quali,Map1,147355,draw
147457,Counter-Strike,2016-04-14 22:00:00.000000,1.607,2.151,SK,Torpedo,will win 1st round on map 1,SL Quali,will win 1st round on map 1,147355,draw
147458,Counter-Strike,2016-04-14 22:00:00.000000,1.607,2.151,SK,Torpedo,will win 16th round on map 1,SL Quali,will win 16th round on map 1,147355,draw
147459,Counter-Strike,2016-04-14 22:00:00.000000,1.860,1.860,SK,Torpedo,Total maps Over 2.5,SL Quali,Total maps Under 2.5,147355,draw
147396,Dota2,2016-04-14 21:30:00.000000,1.338,2.799,Danish Bears,Pries,Total,Prodota Cup,NA,147396,draw
147397,Dota2,2016-04-14 21:30:00.000000,1.837,1.880,Danish Bears,Pries,First blood,Prodota Cup,First blood,147396,draw
