147131,Counter-Strike,2016-04-13 20:00:00.000000,1.147,4.000,E-frag.net,RCTIC,Total,GameShow,NA,147131,draw
147092,Counter-Strike,2016-04-13 13:30:00.000000,1.352,2.749,G2,GODSENT,Total,DreamHack,NA,147092,draw
147093,Counter-Strike,2016-04-13 13:30:00.000000,1.720,2.000,G2,GODSENT,will win 1st round,DreamHack,will win 1st round,147092,draw
147094,Counter-Strike,2016-04-13 13:30:00.000000,1.720,2.000,G2,GODSENT,will win 16th round,DreamHack,will win 16th round,147092,draw
147095,Counter-Strike,2016-04-13 13:30:00.000000,1.508,2.327,G2,GODSENT,will win 5 round first,DreamHack,will win 5 round first,147092,draw
147098,Counter-Strike,2016-04-13 13:30:00.000000,1.864,1.855,G2,GODSENT,Total rounds Over 26.5,DreamHack,Total rounds Under 26.5,147092,draw
147106,LoL,2016-04-13 12:00:00.000000,1.338,2.800,Snake,Invictus Gaming,Total,LPL,NA,147106,draw
147107,LoL,2016-04-13 12:00:00.000000,1.608,2.150,Snake,Invictus Gaming,GameResult,LPL,Map1,147106,draw
147108,LoL,2016-04-13 12:00:00.000000,1.826,1.890,Snake,Invictus Gaming,FB,LPL,Map1,147106,draw
147109,LoL,2016-04-13 12:00:00.000000,1.738,1.980,Snake,Invictus Gaming,Kills10,LPL,Map1,147106,draw
147065,Counter-Strike,2016-04-13 12:00:00.000000,1.058,5.352,Liquid,TyLoo,Total,DreamHack,NA,147065,draw
147066,Counter-Strike,2016-04-13 12:00:00.000000,1.400,2.593,Liquid,TyLoo,will win 1st round,DreamHack,will win 1st round,147065,draw
147067,Counter-Strike,2016-04-13 12:00:00.000000,1.399,2.595,Liquid,TyLoo,will win 16th round,DreamHack,will win 16th round,147065,draw
147068,Counter-Strike,2016-04-13 12:00:00.000000,1.285,3.023,Liquid,TyLoo,will win 5 round first,DreamHack,will win 5 round first,147065,draw
147069,Counter-Strike,2016-04-13 12:00:00.000000,1.860,1.860,Liquid,TyLoo,Total rounds Over 24.5,DreamHack,Total rounds Under 24.5,147065,draw
147048,LoL,2016-04-13 12:00:00.000000,1.434,2.499,Afreeca Freecs,Jin Air Green Wings,Total,LCK,NA,147048,draw
147049,LoL,2016-04-13 12:00:00.000000,1.497,2.351,Afreeca Freecs,Jin Air Green Wings,GameResult,LCK,Map1,147048,draw
147050,LoL,2016-04-13 12:00:00.000000,1.860,1.860,Afreeca Freecs,Jin Air Green Wings,FB,LCK,Map1,147048,draw
147051,LoL,2016-04-13 12:00:00.000000,1.607,2.151,Afreeca Freecs,Jin Air Green Wings,Kills10,LCK,Map1,147048,draw
147055,LoL,2016-04-13 08:00:00.000000,1.477,2.393,LGD,Vici Gaming,Total,LPL,NA,147055,draw
147057,LoL,2016-04-13 08:00:00.000000,1.496,2.352,LGD,Vici Gaming,GameResult,LPL,Map1,147055,draw
147058,LoL,2016-04-13 08:00:00.000000,1.860,1.860,LGD,Vici Gaming,FB,LPL,Map1,147055,draw
147059,LoL,2016-04-13 08:00:00.000000,1.607,2.151,LGD,Vici Gaming,Kills10,LPL,Map1,147055,draw
147038,Counter-Strike,2016-04-13 05:00:00.000000,1.105,4.505,Splyce,Noble,Total,CEVO,NA,147038,draw
147080,Counter-Strike,2016-04-13 05:00:00.000000,1.204,3.499,Splyce,Noble,GameResult,CEVO,Map1,147038,draw
147081,Counter-Strike,2016-04-13 05:00:00.000000,1.523,2.298,Splyce,Noble,will win 1st round on map 1,CEVO,will win 1st round on map 1,147038,draw
