"","team","wins","loses","share","total"
"1","@Phoenix",3,1,NA,4
"2","2015",0,2,NA,2
"3","4 Vikings + Dane",2,1,NA,3
"4","Acion Arena",4,2,0.666666666666667,6
"5","Ad Finem",22,22,0.5,44
"6","Alliance",3,5,0.375,8
"7","Alliance (live)",2,1,NA,3
"8","Alliance (Live)",1,4,0.2,5
"9","Alternate",21,23,0.477272727272727,44
"10","Animal Kingdom",0,2,NA,2
"11","Arcanys",4,4,0.5,8
"12","Avengers",3,5,0.375,8
"13","BANGKOK.ALLSTAR",1,0,NA,1
"14","Bangkok.Dynamo",1,0,NA,1
"15","Beyond Infinity",3,1,NA,4
"16","BroodMothers",3,11,0.214285714285714,14
"17","Cant Say Wips",2,2,NA,4
"18","CDEC",11,4,0.733333333333333,15
"19","CDEC Youth",8,10,0.444444444444444,18
"20","CDEC.A",4,7,0.363636363636364,11
"21","compLexity",11,8,0.578947368421053,19
"22","COOKISS",8,9,0.470588235294118,17
"23","Danish Bears",24,25,0.489795918367347,49
"24","DiG",2,1,NA,3
"25","Digital Chaos",1,4,0.2,5
"26","DUOBAO",3,3,0.5,6
"27","E-LAB",0,4,NA,4
"28","Ehome",16,11,0.592592592592593,27
"29","Ehome King",2,1,NA,3
"30","Elements",1,2,NA,3
"31","Elements one",2,1,NA,3
"32","Elements PG",1,2,NA,3
"33","Elite Wolves",5,2,0.714285714285714,7
"34","Enemy",3,4,0.428571428571429,7
"35","Energy Pacemaker",2,2,NA,4
"36","Enso",0,2,NA,2
"37","EverNova",0,4,NA,4
"38","EverNovaS",0,3,NA,3
"39","Evil Geniuses",7,1,0.875,8
"40","Execration",1,5,0.166666666666667,6
"41","Fantastic Five",16,13,0.551724137931034,29
"42","First Departure",10,11,0.476190476190476,21
"43","Fnatic",25,19,0.568181818181818,44
"44","FTD Club A",1,3,NA,4
"45","FTD Club B",0,2,NA,2
"46","FTD Club C",2,0,NA,2
"47","Goomba",0,2,NA,2
"48","Gossip Girls",0,3,NA,3
"49","Gse7en",4,2,0.666666666666667,6
"50","hehe united",2,1,NA,3
"51","iG Vitality",9,11,0.45,20
"52","InFamous",3,5,0.375,8
"53","Invictus Gaming",16,8,0.666666666666667,24
"54","Kaipi",14,15,0.482758620689655,29
"55","Komanda Plus",1,3,NA,4
"56","LGD",16,18,0.470588235294118,34
"57","LGD (Live)",4,4,0.5,8
"58","London Conspiracy",10,13,0.434782608695652,23
"59","London Conspiracy (map 2)",1,0,NA,1
"60","Mineski",10,18,0.357142857142857,28
"61","Mineski-X",6,5,0.545454545454545,11
"62","MVP Hot6",2,0,NA,2
"63","MVP Phoenix",11,22,0.333333333333333,33
"64","MVP Phoenix (Live)",2,2,NA,4
"65","Nas Ne Dogonyat",0,4,NA,4
"66","Natus Vincere",20,29,0.408163265306122,49
"67","Natus Vincere (Live)",7,2,0.777777777777778,9
"68","NewBee",18,13,0.580645161290323,31
"69","NewBee Youth",3,6,0.333333333333333,9
"70","Newbie.ph",0,2,NA,2
"71","Next Generation Esports",5,5,0.5,10
"72","NL5",11,13,0.458333333333333,24
"73","No Diggity",9,14,0.391304347826087,23
"74","No Logic Gaming",0,2,NA,2
"75","Not Today",3,0,NA,3
"76","OG",6,5,0.545454545454545,11
"77","OG (live)",4,2,0.666666666666667,6
"78","OG (Live)",2,3,0.4,5
"79","Oogway",2,2,NA,4
"80","Orange.Taring",3,3,0.5,6
"81","paiN Gaming",2,0,NA,2
"82","Polarity",16,11,0.592592592592593,27
"83","Power Rangers",23,9,0.71875,32
"84","Pries",7,7,0.5,14
"85","Prodota Gaming",26,26,0.5,52
"86","Rave",6,6,0.5,12
"87","Rebels",16,10,0.615384615384615,26
"88","Redemption",2,0,NA,2
"89","RexRegumQeon",3,8,0.272727272727273,11
"90","Samurai Champloo",1,1,NA,2
"91","SFZ",1,2,NA,3
"92","SFZ Young",1,2,NA,3
"93","Shazam",20,13,0.606060606060606,33
"94","Signature.TrusT",5,6,0.454545454545455,11
"95","Singapore Rejects",0,3,NA,3
"96","Team Bad English",2,7,0.222222222222222,9
"97","Team Braveheart",1,2,NA,3
"98","Team Defiance",6,3,0.666666666666667,9
"99","Team Empire",20,22,0.476190476190476,42
"100","Team Freedom",3,6,0.333333333333333,9
"101","Team Liquid",6,7,0.461538461538462,13
"102","Team Mugsy",1,1,NA,2
"103","Team Secret",2,3,0.4,5
"104","Team Spirit",29,26,0.527272727272727,55
"105","Team Spirit (map 2)",0,1,NA,1
"106","Team Taring",3,2,0.6,5
"107","TheMongolz",5,4,0.555555555555556,9
"108","TnC",26,12,0.684210526315789,38
"109","Tongfu",12,3,0.8,15
"110","Topovoe Nazvanie",1,1,NA,2
"111","Tornado Rox",4,2,0.666666666666667,6
"112","TRG",4,2,0.666666666666667,6
"113","TShow",5,1,0.833333333333333,6
"114","WarriorsGaming",9,12,0.428571428571429,21
"115","WAY",1,3,NA,4
"116","Vega Squadron",25,17,0.595238095238095,42
"117","Vega Squadron (Live)",3,2,0.6,5
"118","VG.R",20,35,0.363636363636364,55
"119","VG.R (live)",2,4,0.333333333333333,6
"120","VG.R (Live)",4,7,0.363636363636364,11
"121","Vici Gaming",13,11,0.541666666666667,24
"122","Wings Gaming",6,13,0.315789473684211,19
"123","Virtus.pro",22,13,0.628571428571429,35
"124","Virtus.pro (live)",1,2,NA,3
"125","Virtus.pro (Live)",3,2,0.6,5
"126","Wu Jie",1,1,NA,2
"127","Yellow Submarine",13,11,0.541666666666667,24
"128","Young And Wild",1,0,NA,1
